illumination,Date,Text1
0.44% Visible,Moon phase details at 4 January 1984,"399,471.22 km"
2.66% Visible,Moon phase details at 5 January 1984,"402,287.94 km"
6.61% Visible,Moon phase details at 6 January 1984,"404,264.13 km"
12.1% Visible,Moon phase details at 7 January 1984,"405,325.79 km"
18.9% Visible,Moon phase details at 8 January 1984,"405,429.65 km"
26.79% Visible,Moon phase details at 9 January 1984,"404,561.82 km"
35.53% Visible,Moon phase details at 10 January 1984,"402,739.26 km"
44.89% Visible,Moon phase details at 11 January 1984,"400,014.26 km"
54.61% Visible,Moon phase details at 12 January 1984,"396,480.79 km"
64.39% Visible,Moon phase details at 13 January 1984,"392,280.45 km"
73.88% Visible,Moon phase details at 14 January 1984,"387,604.96 km"
82.65% Visible,Moon phase details at 15 January 1984,"382,692.35 km"
90.18% Visible,Moon phase details at 16 January 1984,"377,815.55 km"
95.9% Visible,Moon phase details at 17 January 1984,"373,263.51 km"
99.27% Visible,Moon phase details at 18 January 1984,"369,317.71 km"
99.87% Visible,Moon phase details at 19 January 1984,"366,227.42 km"
97.52% Visible,Moon phase details at 20 January 1984,"364,187.83 km"
92.35% Visible,Moon phase details at 21 January 1984,"363,323.74 km"
84.76% Visible,Moon phase details at 22 January 1984,"363,680.51 km"
75.36% Visible,Moon phase details at 23 January 1984,"365,222.42 km"
64.83% Visible,Moon phase details at 24 January 1984,"367,838.03 km"
53.83% Visible,Moon phase details at 25 January 1984,"371,351.64 km"
42.94% Visible,Moon phase details at 26 January 1984,"375,539.36 km"
32.64% Visible,Moon phase details at 27 January 1984,"380,148.30 km"
23.33% Visible,Moon phase details at 28 January 1984,"384,916.63 km"
15.33% Visible,Moon phase details at 29 January 1984,"389,592.21 km"
8.86% Visible,Moon phase details at 30 January 1984,"393,947.56 km"
4.09% Visible,Moon phase details at 31 January 1984,"397,789.65 km"
1.13% Visible,Moon phase details at 1 February 1984,"400,964.27 km"
0.01% Visible,Moon phase details at 2 February 1984,"403,355.53 km"
0.73% Visible,Moon phase details at 3 February 1984,"404,882.30 km"
3.21% Visible,Moon phase details at 4 February 1984,"405,493.69 km"
7.36% Visible,Moon phase details at 5 February 1984,"405,165.50 km"
13.03% Visible,Moon phase details at 6 February 1984,"403,899.38 km"
20.05% Visible,Moon phase details at 7 February 1984,"401,725.15 km"
28.23% Visible,Moon phase details at 8 February 1984,"398,706.16 km"
37.34% Visible,Moon phase details at 9 February 1984,"394,946.00 km"
47.15% Visible,Moon phase details at 10 February 1984,"390,594.37 km"
57.35% Visible,Moon phase details at 11 February 1984,"385,849.14 km"
67.57% Visible,Moon phase details at 12 February 1984,"380,952.11 km"
77.34% Visible,Moon phase details at 13 February 1984,"376,177.16 km"
86.1% Visible,Moon phase details at 14 February 1984,"371,811.37 km"
93.19% Visible,Moon phase details at 15 February 1984,"368,131.35 km"
97.98% Visible,Moon phase details at 16 February 1984,"365,378.41 km"
99.96% Visible,Moon phase details at 17 February 1984,"363,736.22 km"
98.89% Visible,Moon phase details at 18 February 1984,"363,313.84 km"
94.83% Visible,Moon phase details at 19 February 1984,"364,136.23 km"
88.19% Visible,Moon phase details at 20 February 1984,"366,142.62 km"
79.58% Visible,Moon phase details at 21 February 1984,"369,193.01 km"
69.68% Visible,Moon phase details at 22 February 1984,"373,081.89 km"
59.15% Visible,Moon phase details at 23 February 1984,"377,557.58 km"
48.54% Visible,Moon phase details at 24 February 1984,"382,345.08 km"
38.32% Visible,Moon phase details at 25 February 1984,"387,169.18 km"
28.83% Visible,Moon phase details at 26 February 1984,"391,774.71 km"
20.36% Visible,Moon phase details at 27 February 1984,"395,941.36 km"
13.15% Visible,Moon phase details at 28 February 1984,"399,491.67 km"
7.38% Visible,Moon phase details at 29 February 1984,"402,292.48 km"
3.2% Visible,Moon phase details at 1 March 1984,"404,251.57 km"
0.72% Visible,Moon phase details at 2 March 1984,"405,311.78 km"
0.01% Visible,Moon phase details at 3 March 1984,"405,445.19 km"
1.09% Visible,Moon phase details at 4 March 1984,"404,649.32 km"
3.94% Visible,Moon phase details at 5 March 1984,"402,946.46 km"
8.49% Visible,Moon phase details at 6 March 1984,"400,386.34 km"
14.63% Visible,Moon phase details at 7 March 1984,"397,051.15 km"
22.21% Visible,Moon phase details at 8 March 1984,"393,061.42 km"
31.03% Visible,Moon phase details at 9 March 1984,"388,580.14 km"
40.83% Visible,Moon phase details at 10 March 1984,"383,813.02 km"
51.3% Visible,Moon phase details at 11 March 1984,"379,002.83 km"
