illumination,Date,Text1
0.17% Visible,Moon phase details at 3 May 2011,"401,855.97 km"
0.32% Visible,Moon phase details at 4 May 2011,"398,919.05 km"
2.42% Visible,Moon phase details at 5 May 2011,"395,273.34 km"
6.45% Visible,Moon phase details at 6 May 2011,"391,064.61 km"
12.37% Visible,Moon phase details at 7 May 2011,"386,475.97 km"
20% Visible,Moon phase details at 8 May 2011,"381,724.53 km"
29.11% Visible,Moon phase details at 9 May 2011,"377,053.10 km"
39.37% Visible,Moon phase details at 10 May 2011,"372,717.10 km"
50.37% Visible,Moon phase details at 11 May 2011,"368,967.94 km"
61.59% Visible,Moon phase details at 12 May 2011,"366,034.64 km"
72.45% Visible,Moon phase details at 13 May 2011,"364,105.74 km"
82.3% Visible,Moon phase details at 14 May 2011,"363,313.41 km"
90.46% Visible,Moon phase details at 15 May 2011,"363,721.08 km"
96.33% Visible,Moon phase details at 16 May 2011,"365,316.03 km"
99.49% Visible,Moon phase details at 17 May 2011,"368,007.71 km"
99.77% Visible,Moon phase details at 18 May 2011,"371,632.78 km"
97.3% Visible,Moon phase details at 19 May 2011,"375,967.09 km"
92.43% Visible,Moon phase details at 20 May 2011,"380,744.11 km"
85.64% Visible,Moon phase details at 21 May 2011,"385,677.65 km"
77.47% Visible,Moon phase details at 22 May 2011,"390,485.85 km"
68.4% Visible,Moon phase details at 23 May 2011,"394,912.46 km"
58.85% Visible,Moon phase details at 24 May 2011,"398,742.13 km"
49.18% Visible,Moon phase details at 25 May 2011,"401,808.22 km"
39.69% Visible,Moon phase details at 26 May 2011,"403,993.55 km"
30.64% Visible,Moon phase details at 27 May 2011,"405,226.22 km"
22.3% Visible,Moon phase details at 28 May 2011,"405,473.64 km"
14.91% Visible,Moon phase details at 29 May 2011,"404,737.48 km"
8.73% Visible,Moon phase details at 30 May 2011,"403,051.20 km"
4.03% Visible,Moon phase details at 31 May 2011,"400,480.57 km"
1.04% Visible,Moon phase details at 1 June 2011,"397,126.19 km"
0% Visible,Moon phase details at 2 June 2011,"393,126.13 km"
1.06% Visible,Moon phase details at 3 June 2011,"388,656.53 km"
4.29% Visible,Moon phase details at 4 June 2011,"383,928.41 km"
9.67% Visible,Moon phase details at 5 June 2011,"379,179.66 km"
17.03% Visible,Moon phase details at 6 June 2011,"374,662.61 km"
26.09% Visible,Moon phase details at 7 June 2011,"370,628.21 km"
36.44% Visible,Moon phase details at 8 June 2011,"367,309.06 km"
47.61% Visible,Moon phase details at 9 June 2011,"364,902.85 km"
