Date,Open,High,Low,Close_,AdjClose__
"Dec 21, 2020",24.25,31.46,24.23,25.16,25.16
"Dec 18, 2020",22.15,23.77,21.57,21.57,21.57
"Dec 17, 2020",21.98,22.27,21.52,21.93,21.93
"Dec 16, 2020",22.51,23.67,22.29,22.50,22.50
"Dec 15, 2020",24.00,24.07,22.73,22.89,22.89
"Dec 14, 2020",22.67,24.82,21.95,24.72,24.72
"Dec 11, 2020",22.49,25.14,22.48,23.31,23.31
"Dec 10, 2020",22.12,23.46,21.53,22.52,22.52
"Dec 09, 2020",20.66,22.93,20.10,22.27,22.27
"Dec 08, 2020",21.65,22.25,20.52,20.68,20.68
"Dec 07, 2020",22.04,22.62,21.17,21.30,21.30
"Dec 04, 2020",21.05,21.15,19.97,20.79,20.79
"Dec 03, 2020",21.24,21.88,20.72,21.28,21.28
"Dec 02, 2020",21.00,21.25,20.04,21.17,21.17
"Dec 01, 2020",20.21,20.92,20.00,20.77,20.77
"Nov 30, 2020",22.64,22.89,20.48,20.57,20.57
"Nov 27, 2020",21.52,21.60,19.51,20.84,20.84
"Nov 25, 2020",21.65,22.50,21.13,21.25,21.25
"Nov 24, 2020",22.04,22.48,20.80,21.64,21.64
"Nov 23, 2020",23.66,23.96,22.45,22.66,22.66
"Nov 20, 2020",23.43,23.73,22.13,23.70,23.70
"Nov 19, 2020",23.62,24.52,22.56,23.11,23.11
"Nov 18, 2020",22.86,23.92,21.66,23.84,23.84
"Nov 17, 2020",22.84,24.09,22.34,22.71,22.71
"Nov 16, 2020",23.66,24.08,22.43,22.45,22.45
"Nov 13, 2020",24.94,25.03,22.74,23.10,23.10
"Nov 12, 2020",24.39,27.27,23.53,25.35,25.35
"Nov 11, 2020",25.01,25.12,22.57,23.45,23.45
"Nov 10, 2020",25.36,26.77,24.35,24.80,24.80
"Nov 09, 2020",24.80,25.82,22.41,25.75,25.75
"Nov 06, 2020",27.87,29.44,24.56,24.86,24.86
"Nov 05, 2020",27.56,28.14,26.04,27.58,27.58
"Nov 04, 2020",36.79,36.85,28.03,29.57,29.57
"Nov 03, 2020",36.44,36.44,34.19,35.55,35.55
"Nov 02, 2020",38.57,38.78,36.13,37.13,37.13
"Oct 30, 2020",40.81,41.09,36.50,38.02,38.02
"Oct 29, 2020",38.80,41.16,35.63,37.59,37.59
"Oct 28, 2020",34.69,40.77,34.68,40.28,40.28
"Oct 27, 2020",32.04,33.77,31.85,33.35,33.35
"Oct 26, 2020",29.38,33.68,29.22,32.46,32.46
"Oct 23, 2020",28.47,28.67,27.26,27.55,27.55
"Oct 22, 2020",30.10,30.12,27.68,28.11,28.11
"Oct 21, 2020",29.12,30.55,28.37,28.65,28.65
"Oct 20, 2020",28.81,29.60,28.29,29.35,29.35
"Oct 19, 2020",27.36,29.69,27.04,29.18,29.18
"Oct 16, 2020",27.16,27.46,26.19,27.41,27.41
"Oct 15, 2020",27.10,29.06,26.82,26.97,26.97
"Oct 14, 2020",25.72,27.23,25.53,26.40,26.40
"Oct 13, 2020",25.67,26.93,25.16,26.07,26.07
"Oct 12, 2020",25.65,25.65,24.14,25.07,25.07
"Oct 09, 2020",26.20,26.22,24.03,25.00,25.00
"Oct 08, 2020",27.65,27.99,24.88,26.36,26.36
"Oct 07, 2020",29.26,29.76,27.94,28.06,28.06
"Oct 06, 2020",28.05,30.00,26.01,29.48,29.48
"Oct 05, 2020",29.52,29.69,27.27,27.96,27.96
"Oct 02, 2020",28.87,29.90,26.93,27.63,27.63
"Oct 01, 2020",25.78,27.11,25.33,26.70,26.70
"Sep 30, 2020",26.69,27.12,25.06,26.37,26.37
"Sep 29, 2020",26.81,27.43,25.98,26.27,26.27
"Sep 28, 2020",27.15,27.19,24.90,26.19,26.19
"Sep 25, 2020",28.17,30.43,26.02,26.38,26.38
"Sep 24, 2020",29.54,30.49,27.94,28.51,28.51
"Sep 23, 2020",27.02,29.73,25.19,28.58,28.58
"Sep 22, 2020",28.61,28.78,26.48,26.86,26.86
"Sep 21, 2020",28.04,31.18,27.39,27.78,27.78
"Sep 18, 2020",26.65,28.10,25.28,25.83,25.83
"Sep 17, 2020",28.22,28.92,26.26,26.46,26.46
"Sep 16, 2020",25.31,26.59,24.84,26.04,26.04
"Sep 15, 2020",25.92,26.00,24.92,25.59,25.59
"Sep 14, 2020",25.86,26.79,25.38,25.85,25.85
"Sep 11, 2020",28.63,29.73,26.51,26.87,26.87
"Sep 10, 2020",28.67,30.56,27.59,29.71,29.71
"Sep 09, 2020",31.68,31.78,28.12,28.81,28.81
"Sep 08, 2020",30.61,35.93,30.52,31.46,31.46
"Sep 04, 2020",34.62,38.28,29.50,30.75,30.75
"Sep 03, 2020",26.28,35.94,25.66,33.60,33.60
"Sep 02, 2020",26.01,27.07,25.53,26.57,26.57
"Sep 01, 2020",25.86,26.59,25.02,26.12,26.12
"Aug 31, 2020",23.91,26.50,21.77,26.41,26.41
"Aug 28, 2020",24.59,26.30,22.64,22.96,22.96
"Aug 27, 2020",23.42,27.09,21.44,24.47,24.47
"Aug 26, 2020",22.14,23.27,20.92,23.27,23.27
"Aug 25, 2020",22.16,23.43,21.53,22.03,22.03
"Aug 24, 2020",22.87,23.18,21.25,22.37,22.37
"Aug 21, 2020",22.58,24.47,22.06,22.54,22.54
"Aug 20, 2020",24.10,24.60,22.37,22.72,22.72
"Aug 19, 2020",21.60,22.98,20.99,22.54,22.54
"Aug 18, 2020",21.69,22.55,21.18,21.51,21.51
"Aug 17, 2020",22.52,22.82,21.34,21.35,21.35
"Aug 14, 2020",22.27,23.55,21.79,22.05,22.05
"Aug 13, 2020",22.20,22.92,21.45,22.13,22.13
"Aug 12, 2020",22.82,22.88,21.54,22.28,22.28
"Aug 11, 2020",21.85,24.93,20.28,24.03,24.03
"Aug 10, 2020",22.88,23.52,21.46,22.13,22.13
"Aug 07, 2020",23.45,24.02,22.02,22.21,22.21
"Aug 06, 2020",23.03,24.11,20.97,22.65,22.65
"Aug 05, 2020",23.44,23.61,22.86,22.99,22.99
"Aug 04, 2020",24.01,24.76,22.92,23.76,23.76
"Aug 03, 2020",25.75,26.01,22.17,24.28,24.28
"Jul 31, 2020",24.79,26.41,23.55,24.46,24.46
"Jul 30, 2020",25.04,28.29,24.64,24.76,24.76
"Jul 29, 2020",25.16,25.42,23.73,24.10,24.10
"Jul 28, 2020",24.86,25.85,24.05,25.44,25.44
"Jul 27, 2020",26.60,26.94,24.55,24.74,24.74
"Jul 24, 2020",27.96,28.58,25.53,25.84,25.84
"Jul 23, 2020",23.97,26.95,23.60,26.08,26.08
"Jul 22, 2020",24.56,26.26,24.13,24.32,24.32
"Jul 21, 2020",24.08,25.65,23.61,24.84,24.84
"Jul 20, 2020",26.94,27.08,24.35,24.46,24.46
"Jul 17, 2020",27.15,27.54,25.41,25.68,25.68
"Jul 16, 2020",28.41,29.29,26.98,28.00,28.00
"Jul 15, 2020",29.15,30.09,27.17,27.76,27.76
"Jul 14, 2020",31.14,33.67,29.21,29.52,29.52
"Jul 13, 2020",27.85,32.45,26.87,32.19,32.19
"Jul 10, 2020",30.86,30.91,27.13,27.29,27.29
"Jul 09, 2020",28.18,31.48,26.11,29.26,29.26
"Jul 08, 2020",28.95,30.20,27.24,28.08,28.08
"Jul 07, 2020",28.77,29.63,27.25,29.43,29.43
"Jul 06, 2020",27.76,28.33,24.92,27.94,27.94
"Jul 02, 2020",28.33,28.44,25.90,27.68,27.68
"Jul 01, 2020",30.96,31.76,28.20,28.62,28.62
"Jun 30, 2020",32.54,32.94,29.56,30.43,30.43
"Jun 29, 2020",35.05,36.31,31.78,31.78,31.78
"Jun 26, 2020",33.01,36.25,31.04,34.73,34.73
"Jun 25, 2020",36.59,36.93,31.59,32.22,32.22
"Jun 24, 2020",31.05,37.12,30.95,33.84,33.84
"Jun 23, 2020",31.71,31.71,29.26,31.37,31.37
"Jun 22, 2020",35.22,35.39,31.64,31.77,31.77
"Jun 19, 2020",32.07,35.12,30.40,35.12,35.12
"Jun 18, 2020",33.83,36.25,32.24,32.94,32.94
"Jun 17, 2020",33.28,35.17,32.25,33.47,33.47
"Jun 16, 2020",34.28,37.45,31.73,33.67,33.67
"Jun 15, 2020",44.09,44.44,34.28,34.40,34.40
"Jun 12, 2020",37.68,44.16,34.97,36.09,36.09
"Jun 11, 2020",30.45,42.58,29.49,40.79,40.79
"Jun 10, 2020",26.73,29.01,26.06,27.57,27.57
"Jun 09, 2020",25.93,27.70,25.71,27.57,27.57
"Jun 08, 2020",25.56,25.98,24.65,25.81,25.81
"Jun 05, 2020",24.79,25.09,23.54,24.52,24.52
"Jun 04, 2020",26.23,26.43,24.38,25.81,25.81
"Jun 03, 2020",26.75,26.98,25.04,25.66,25.66
"Jun 02, 2020",28.40,28.52,26.66,26.84,26.84
"Jun 01, 2020",28.94,30.60,28.11,28.23,28.23
"May 29, 2020",29.30,30.16,27.29,27.51,27.51
"May 28, 2020",27.82,29.89,27.43,28.59,28.59
"May 27, 2020",27.62,30.53,25.92,27.62,27.62
"May 26, 2020",27.72,28.58,27.18,28.01,28.01
"May 22, 2020",31.36,31.55,28.03,28.16,28.16
"May 21, 2020",28.97,30.20,27.67,29.53,29.53
"May 20, 2020",29.52,29.83,27.83,27.99,27.99
"May 19, 2020",28.73,30.74,28.37,30.53,30.53
"May 18, 2020",30.71,31.08,28.35,29.30,29.30
"May 15, 2020",32.50,35.13,31.04,31.89,31.89
"May 14, 2020",35.16,39.28,32.33,32.61,32.61
"May 13, 2020",32.74,37.42,30.77,35.28,35.28
"May 12, 2020",28.47,33.04,26.00,33.04,33.04
"May 11, 2020",28.46,31.46,26.97,27.57,27.57
"May 08, 2020",30.14,30.39,27.89,27.98,27.98
"May 07, 2020",32.12,32.28,30.37,31.44,31.44
"May 06, 2020",32.69,35.69,31.68,34.12,34.12
"May 05, 2020",34.82,36.22,31.95,33.61,33.61
"May 04, 2020",39.13,40.32,35.53,35.97,35.97
"May 01, 2020",38.17,39.57,36.59,37.19,37.19
"Apr 30, 2020",30.99,35.94,30.93,34.15,34.15
"Apr 29, 2020",32.48,33.19,30.71,31.23,31.23
"Apr 28, 2020",33.21,35.39,30.54,33.57,33.57
"Apr 27, 2020",36.29,36.44,32.51,33.29,33.29
"Apr 24, 2020",38.80,40.17,35.60,35.93,35.93
"Apr 23, 2020",41.30,42.47,39.06,41.38,41.38
"Apr 22, 2020",44.91,45.07,41.41,41.98,41.98
"Apr 21, 2020",44.28,47.77,43.77,45.41,45.41
"Apr 20, 2020",40.68,43.83,39.88,43.83,43.83
"Apr 17, 2020",39.50,40.26,37.63,38.15,38.15
"Apr 16, 2020",41.92,43.02,39.87,40.11,40.11
"Apr 15, 2020",42.57,43.23,40.05,40.84,40.84
"Apr 14, 2020",40.24,40.57,37.31,37.76,37.76
"Apr 13, 2020",44.60,45.04,41.17,41.17,41.17
"Apr 09, 2020",43.00,45.73,41.39,41.67,41.67
"Apr 08, 2020",45.90,47.28,42.53,43.35,43.35
"Apr 07, 2020",44.83,47.51,43.51,46.70,46.70
"Apr 06, 2020",44.17,45.73,43.45,45.24,45.24
"Apr 03, 2020",51.11,52.29,46.74,46.80,46.80
"Apr 02, 2020",54.46,57.24,50.45,50.91,50.91
"Apr 01, 2020",57.38,60.59,52.76,57.06,57.06
"Mar 31, 2020",56.69,58.75,50.88,53.54,53.54
"Mar 30, 2020",66.30,67.69,56.60,57.08,57.08
"Mar 27, 2020",64.95,69.10,61.80,65.54,65.54
"Mar 26, 2020",65.67,67.06,57.66,61.00,61.00
"Mar 25, 2020",61.44,68.86,58.03,63.95,63.95
"Mar 24, 2020",58.76,61.88,36.24,61.67,61.67
"Mar 23, 2020",74.08,76.74,60.46,61.59,61.59
"Mar 20, 2020",67.86,69.51,57.42,66.04,66.04
"Mar 19, 2020",80.62,84.26,68.57,72.00,72.00
"Mar 18, 2020",69.37,85.47,69.37,76.45,76.45
"Mar 17, 2020",82.69,84.83,70.37,75.91,75.91
"Mar 16, 2020",57.83,83.56,57.83,82.69,82.69
"Mar 13, 2020",65.07,77.57,55.17,57.83,57.83
"Mar 12, 2020",61.46,76.83,59.91,75.47,75.47
"Mar 11, 2020",52.24,55.82,49.98,53.90,53.90
"Mar 10, 2020",49.68,55.66,43.56,47.30,47.30
"Mar 09, 2020",41.94,62.12,41.94,54.46,54.46
"Mar 06, 2020",48.93,54.39,40.84,41.94,41.94
"Mar 05, 2020",33.61,42.84,33.54,39.62,39.62
"Mar 04, 2020",34.44,35.58,30.30,31.99,31.99
"Mar 03, 2020",33.65,41.06,24.93,36.82,36.82
"Mar 02, 2020",38.54,40.41,31.50,33.42,33.42
"Feb 28, 2020",42.02,49.48,39.37,40.11,40.11
"Feb 27, 2020",32.14,39.31,29.37,39.16,39.16
"Feb 26, 2020",26.63,29.57,24.76,27.56,27.56
"Feb 25, 2020",23.28,30.25,22.62,27.85,27.85
"Feb 24, 2020",22.25,26.35,22.00,25.03,25.03
"Feb 21, 2020",17.33,18.21,16.19,17.08,17.08
"Feb 20, 2020",14.54,17.21,14.49,15.56,15.56
"Feb 19, 2020",14.66,14.74,14.21,14.38,14.38
"Feb 18, 2020",14.98,15.49,14.53,14.83,14.83
"Feb 14, 2020",14.12,14.54,13.38,13.68,13.68
"Feb 13, 2020",14.43,15.44,14.00,14.15,14.15
"Feb 12, 2020",14.86,14.88,13.73,13.74,13.74
"Feb 11, 2020",14.91,15.27,14.38,15.18,15.18
"Feb 10, 2020",15.88,16.43,15.01,15.04,15.04
"Feb 07, 2020",15.07,16.16,14.81,15.47,15.47
"Feb 06, 2020",15.13,15.66,14.70,14.96,14.96
"Feb 05, 2020",16.29,16.32,15.02,15.15,15.15
"Feb 04, 2020",16.45,16.46,15.63,16.05,16.05
"Feb 03, 2020",18.64,18.88,17.10,17.97,17.97
"Jan 31, 2020",16.25,19.99,16.18,18.84,18.84
"Jan 30, 2020",17.82,18.39,15.30,15.49,15.49
"Jan 29, 2020",15.68,16.65,14.94,16.39,16.39
"Jan 28, 2020",16.94,18.03,15.69,16.28,16.28
"Jan 27, 2020",17.42,19.02,16.82,18.23,18.23
"Jan 24, 2020",12.75,15.98,12.62,14.56,14.56
"Jan 23, 2020",13.26,14.15,12.94,12.98,12.98
"Jan 22, 2020",12.45,13.01,12.31,12.91,12.91
"Jan 21, 2020",13.23,13.33,12.32,12.85,12.85
"Jan 17, 2020",12.21,12.48,11.75,12.10,12.10
"Jan 16, 2020",12.20,12.42,11.78,12.32,12.32
"Jan 15, 2020",12.79,12.83,11.95,12.42,12.42
"Jan 14, 2020",12.72,13.82,12.05,12.39,12.39
"Jan 13, 2020",12.84,13.09,12.32,12.32,12.32
"Jan 10, 2020",12.42,12.87,12.09,12.56,12.56
"Jan 09, 2020",12.95,13.24,12.53,12.54,12.54
"Jan 08, 2020",15.16,15.24,12.83,13.45,13.45
"Jan 07, 2020",13.84,14.46,13.39,13.79,13.79
"Jan 06, 2020",15.45,16.39,13.54,13.85,13.85
"Jan 03, 2020",15.01,16.20,13.13,14.02,14.02
"Jan 02, 2020",13.46,13.72,12.42,12.47,12.47
"Dec 31, 2019",14.84,15.39,13.75,13.78,13.78
"Dec 30, 2019",13.74,15.14,13.44,14.82,14.82
"Dec 27, 2019",12.61,13.72,11.89,13.43,13.43
"Dec 26, 2019",12.74,12.75,11.72,12.65,12.65
"Dec 24, 2019",12.65,12.84,12.56,12.67,12.67
"Dec 23, 2019",12.81,12.90,12.41,12.61,12.61
"Dec 20, 2019",12.55,12.61,12.04,12.51,12.51
"Dec 19, 2019",12.55,12.78,12.43,12.50,12.50
"Dec 18, 2019",12.24,12.70,11.93,12.58,12.58
"Dec 17, 2019",12.23,12.47,11.90,12.29,12.29
"Dec 16, 2019",12.47,12.53,11.71,12.14,12.14
"Dec 13, 2019",13.18,14.35,12.54,12.63,12.63
"Dec 12, 2019",14.94,15.55,13.60,13.94,13.94
"Dec 11, 2019",15.57,15.97,14.98,14.99,14.99
"Dec 10, 2019",15.80,16.90,14.93,15.68,15.68
"Dec 09, 2019",14.25,16.07,12.25,15.86,15.86
"Dec 06, 2019",14.37,14.47,13.19,13.62,13.62
"Dec 05, 2019",14.46,15.37,14.17,14.52,14.52
"Dec 04, 2019",16.38,16.40,14.12,14.80,14.80
"Dec 03, 2019",14.68,17.99,14.61,15.96,15.96
"Dec 02, 2019",12.69,15.27,12.55,14.91,14.91
"Nov 29, 2019",12.50,12.83,12.12,12.62,12.62
"Nov 27, 2019",11.55,11.79,11.44,11.75,11.75
"Nov 26, 2019",11.88,12.04,11.42,11.54,11.54
"Nov 25, 2019",12.51,12.59,11.73,11.87,11.87
"Nov 22, 2019",12.82,13.25,12.33,12.34,12.34
"Nov 21, 2019",13.35,13.86,12.49,13.13,13.13
"Nov 20, 2019",13.42,14.17,12.61,12.78,12.78
"Nov 19, 2019",12.33,13.01,12.16,12.86,12.86
"Nov 18, 2019",12.39,13.10,12.32,12.46,12.46
"Nov 15, 2019",12.95,12.97,11.92,12.05,12.05
"Nov 14, 2019",13.16,13.81,12.93,13.05,13.05
"Nov 13, 2019",12.91,13.90,12.88,13.00,13.00
"Nov 12, 2019",12.64,13.10,12.36,12.68,12.68
"Nov 11, 2019",13.15,13.49,12.66,12.69,12.69
"Nov 08, 2019",12.98,13.05,12.00,12.07,12.07
