,illumination,date,dist_to_moon,feels_like_19-1,pressure_19-1,rain_1h_19-1,weather_id_19-1,feels_like_07,pressure_07,rain_1h_07,weather_id_07,open_d-1,high_d-1,low_d-1,close_d-1,result
0,0.44,1984-01-04,399471.22 ,-4.78,1000.0,0.0,802.0,-3.41,1012,0.0,801,997.50,"1,001.40",997.50,997.50,998.60
1,2.66,1984-01-05,402287.94 ,-2.96,1023.0,0.0,800.0,-1.28,1020,0.5,500,997.50,999.50,993.30,998.60,"1,015.80"
2,6.61,1984-01-06,404264.13 ,1.22,1017.0,0.0,802.0,-0.79,1019,0.0,701,"1,007.10","1,015.80","1,007.10","1,015.80","1,029.00"
3,26.79,1984-01-09,404561.82 ,-2.32,1016.0,0.3,520.0,-4.13,1022,0.0,800,"1,019.00","1,029.30","1,019.00","1,029.00","1,034.60"
4,35.53,1984-01-10,402739.26 ,-2.4,1026.0,0.0,721.0,1.49,1024,0.0,300,"1,030.60","1,035.40","1,030.60","1,034.60","1,034.30"
5,44.89,1984-01-11,400014.26 ,4.89,1020.0,0.0,804.0,3.62,1012,0.0,804,"1,034.60","1,034.90","1,029.90","1,034.30","1,023.40"
6,54.61,1984-01-12,396480.79 ,1.63,1002.0,0.0,802.0,-2.36,999,0.0,804,"1,033.60","1,033.60","1,021.40","1,023.40","1,031.30"
7,64.39,1984-01-13,392280.45 ,-2.2,1011.0,0.0,802.0,1.46,990,0.0,804,"1,023.40","1,031.30","1,020.20","1,031.30","1,042.70"
8,90.18,1984-01-16,377815.55 ,-4.88,1008.0,0.0,800.0,-1.83,1013,0.0,802,"1,033.10","1,042.70","1,033.10","1,042.70","1,046.00"
9,95.9,1984-01-17,373263.51 ,1.33,996.0,0.0,803.0,-4.2,1003,0.0,800,"1,042.70","1,046.00","1,039.10","1,046.00","1,041.90"
10,99.27,1984-01-18,369317.71 ,-1.91,1011.0,0.0,801.0,-5.26,1017,0.0,800,"1,044.40","1,044.40","1,036.20","1,041.90","1,058.70"
11,99.87,1984-01-19,366227.42 ,-2.75,1014.0,0.0,803.0,-4.08,1009,0.0,803,"1,044.40","1,058.70","1,044.40","1,058.70","1,057.80"
12,97.52,1984-01-20,364187.83 ,-4.65,1014.0,0.0,803.0,-6.4,1019,0.0,721,"1,058.70","1,060.20","1,053.90","1,057.80","1,059.00"
13,75.36,1984-01-23,365222.42 ,-2.58,1000.0,0.0,801.0,-4.86,986,1.08,310,"1,057.80","1,060.60","1,056.20","1,059.00","1,046.80"
14,64.83,1984-01-24,367838.03 ,-5.1,974.0,0.3,520.0,-4.62,986,0.0,804,"1,059.00","1,059.00","1,046.30","1,046.80","1,055.20"
15,53.83,1984-01-25,371351.64 ,-3.94,1006.0,0.0,721.0,-4.09,1014,0.0,801,"1,046.80","1,055.20","1,039.90","1,055.20","1,073.50"
16,42.94,1984-01-26,375539.36 ,-2.21,1012.0,0.0,804.0,1.18,997,0.0,803,"1,058.20","1,073.50","1,058.20","1,073.50","1,072.10"
17,32.64,1984-01-27,380148.30 ,0.63,995.0,0.0,803.0,1.79,997,0.0,803,"1,073.50","1,074.80","1,069.00","1,072.10","1,075.90"
18,8.86,1984-01-30,393947.56 ,0.81,1012.0,0.0,802.0,-1.94,1013,0.0,803,"1,072.10","1,075.90","1,065.00","1,075.90","1,068.60"
