,illumination,date,dist_to_moon,feels_like_19-1,pressure_19-1,rain_1h_19-1,weather_id_19-1,feels_like_07,pressure_07,rain_1h_07,weather_id_07,open_d-1,high_d-1,low_d-1,close_d-1,result,daily_policy_index_d-1
0,49.48,2001-01-03,391446.92 ,3.9,986.0,0.0,801.0,-1.39,1001,0.0,801,"6,222.50","6,276.20","6,169.80","6,174.70","6,039.90",110.77
1,59.62,2001-01-04,386745.19 ,2.65,994.0,1.02,500.0,7.35,986,1.21,501,"6,174.70","6,174.70","6,029.30","6,039.90","6,185.60",179.41
2,69.68,2001-01-05,381844.96 ,3.83,993.0,0.0,802.0,3.6,979,0.28,300,"6,039.90","6,195.30","6,039.90","6,185.60","6,198.10",183.22
3,94.26,2001-01-08,368727.16 ,-0.07,1010.0,0.0,800.0,-2.07,1012,0.0,802,"6,185.60","6,239.60","6,155.00","6,198.10","6,149.60",114.25
4,98.55,2001-01-09,365793.04 ,0.18,1015.0,0.3,520.0,-2.7,1014,0.0,701,"6,198.10","6,212.40","6,137.70","6,149.60","6,088.10",365.29
5,100,2001-01-10,363942.85 ,-1.44,1012.0,0.0,802.0,-1.51,1008,0.0,721,"6,149.60","6,195.90","6,066.40","6,088.10","6,059.90",260.13
6,98.4,2001-01-11,363297.60 ,-1.56,1011.0,0.0,804.0,-4.31,1017,0.0,803,"6,088.10","6,119.90","6,040.40","6,059.90","6,114.90",268.23
7,93.86,2001-01-12,363895.36 ,-4.29,1023.0,0.0,803.0,-3.28,1026,0.0,803,"6,059.90","6,114.90","6,052.10","6,114.90","6,165.50",140.42
8,67.8,2001-01-15,372288.64 ,-2.16,1031.0,0.0,803.0,-3.96,1026,0.0,803,"6,114.90","6,178.50","6,109.80","6,165.50","6,170.30",132.53
9,57.15,2001-01-16,376658.07 ,-5.04,1023.0,0.0,800.0,-7.44,1022,0.0,800,"6,165.50","6,193.40","6,148.80","6,170.30","6,083.30",249.26
10,46.5,2001-01-17,381390.20 ,-4.35,1021.0,0.0,801.0,-5.0,1020,0.0,721,"6,170.30","6,173.80","6,076.70","6,083.30","6,197.40",208.63
11,36.32,2001-01-18,386211.47 ,-3.29,1019.0,0.0,721.0,-6.08,1019,0.0,721,"6,083.30","6,205.50","6,083.30","6,197.40","6,209.90",262.46
12,26.95,2001-01-19,390864.61 ,-4.46,1020.0,0.0,721.0,-4.73,1021,0.0,721,"6,197.40","6,220.60","6,174.80","6,209.90","6,209.30",183.97
13,6.29,2001-01-22,401766.17 ,0.77,1008.0,0.0,300.0,1.68,1004,0.0,300,"6,209.90","6,276.40","6,186.40","6,209.30","6,232.00",38.25
14,2.48,2001-01-23,403906.65 ,5.05,993.0,0.0,802.0,3.01,995,0.0,802,"6,209.30","6,252.30","6,162.90","6,232.00","6,214.70",74.13
15,0.4,2001-01-24,405161.45 ,6.19,982.0,0.55,300.0,1.82,988,0.0,801,"6,232.00","6,232.30","6,187.90","6,214.70","6,264.40",70.61
16,0.1,2001-01-25,405495.29 ,4.11,996.0,0.0,803.0,2.12,996,0.0,801,"6,214.70","6,309.20","6,214.70","6,264.40","6,255.60",172.06
17,1.58,2001-01-26,404898.62 ,-0.21,998.0,0.0,802.0,1.59,996,0.0,802,"6,264.40","6,296.90","6,229.30","6,255.60","6,294.30",267.58
18,16.1,2001-01-29,397816.05 ,-2.27,1010.0,0.0,802.0,-3.28,1018,0.0,721,"6,255.60","6,295.00","6,223.80","6,294.30","6,317.00",72.76
19,23.87,2001-01-30,393943.34 ,-1.98,1022.0,0.0,721.0,-0.37,1021,0.0,721,"6,294.30","6,335.10","6,269.40","6,317.00","6,334.50",124.19
20,32.82,2001-01-31,389537.59 ,0.59,1018.0,0.34,310.0,1.94,1020,0.0,300,"6,317.00","6,337.40","6,300.20","6,334.50","6,297.50",79.66
21,42.67,2001-02-01,384797.55 ,-0.62,1027.0,0.0,802.0,-4.37,1031,0.0,741,"6,334.50","6,360.30","6,264.90","6,297.50","6,251.80",359.91
22,53.11,2001-02-02,379961.59 ,-0.95,1027.0,0.0,802.0,0.74,1016,0.17,310,"6,297.50","6,309.90","6,233.40","6,251.80","6,256.40",87.87
23,83.51,2001-02-05,367575.30 ,5.33,990.0,0.44,500.0,2.52,992,0.0,804,"6,251.80","6,290.60","6,251.80","6,256.40","6,269.20",92.54
24,91.35,2001-02-06,365016.93 ,5.69,994.0,0.0,801.0,5.87,990,0.0,802,"6,256.40","6,281.30","6,237.10","6,269.20","6,293.40",116.51
